Player Name,Position,Matchup Light,Offense Light,Vegas Light
Tylan Wallace,WR,GREEN,YELLOW,YELLOW
Drew Sample,TE,YELLOW,YELLOW,GREEN
Robbie Gould,K,#N/A,#N/A,#N/A
Treylon Burks,WR,GREEN,RED,RED
Mack Hollins,WR,RED,YELLOW,GREEN
Travis Homer,RB,YELLOW,YELLOW,GREEN
Keaontay Ingram,RB,YELLOW,RED,RED
Johnny Mundt,TE,YELLOW,YELLOW,RED
Ben DiNucci,QB,#N/A,#N/A,#N/A
Jordan Travis,QB,YELLOW,YELLOW,GREEN
DeeJay Dallas,RB,YELLOW,YELLOW,GREEN
Craig Reynolds,RB,YELLOW,GREEN,GREEN
Brandon Allen,QB,YELLOW,YELLOW,YELLOW
Israel Abanikanda,RB,GREEN,YELLOW,GREEN
Charlie Jones,WR,RED,GREEN,GREEN
Chris Conley,WR,GREEN,YELLOW,YELLOW
Devin Leary,QB,YELLOW,GREEN,YELLOW
Tommy Tremble,TE,GREEN,RED,GREEN
Tutu Atwell,WR,YELLOW,GREEN,GREEN
Irv Smith Jr.,TE,#N/A,#N/A,#N/A
Shane Zylstra,TE,RED,YELLOW,GREEN
Cornelius Johnson,WR,YELLOW,YELLOW,RED
Sean Clifford,QB,RED,YELLOW,RED
Dante Pettis,WR,YELLOW,YELLOW,GREEN
Alec Ingold,RB,RED,YELLOW,YELLOW
Jalen Nailor,WR,RED,GREEN,RED
Ty Johnson,RB,YELLOW,GREEN,GREEN
Jashaun Corbin,RB,#N/A,#N/A,#N/A
Jha'Quan Jackson,WR,GREEN,RED,RED
Binjimen Victor,WR,#N/A,#N/A,#N/A
Malik Heath,WR,GREEN,GREEN,RED
Parris Campbell,WR,YELLOW,YELLOW,YELLOW
Ryan Flournoy,WR,RED,GREEN,GREEN
Jake Funk,RB,#N/A,#N/A,#N/A
Carson Strong,QB,#N/A,#N/A,#N/A
Sam Howell,QB,RED,YELLOW,RED
Justyn Ross,WR,YELLOW,YELLOW,RED
Malik Willis,QB,RED,YELLOW,RED
Will Mallory,TE,RED,RED,RED
Cole Fotheringham,TE,YELLOW,RED,RED
Trey Palmer,WR,YELLOW,GREEN,GREEN
Deneric Prince,RB,RED,YELLOW,YELLOW
Isaiah Williams,WR,RED,GREEN,GREEN
Tejhaun Palmer,WR,YELLOW,RED,GREEN
Caleb Shudak,K,#N/A,#N/A,#N/A
Ameer Abdullah,RB,YELLOW,RED,RED
